Wall time,Step,Value
1719374845.9514146,0,-205.2393341064453
1719374847.2349162,10000,-201.46707153320312
1719374848.6622295,20000,-371.3054504394531
1719374870.4881814,30000,-175.85073852539062
1719374895.8342173,40000,-181.0934295654297
1719374920.1161916,50000,-220.5771942138672
1719374945.8376136,60000,-93.01309967041016
1719374974.4008677,70000,-67.25568389892578
1719375000.5426168,80000,-162.29791259765625
1719375022.2218852,90000,-153.03414916992188
1719375046.8699527,100000,-84.49397277832031
1719375074.1637545,110000,-82.25499725341797
1719375097.3353398,120000,37.29480743408203
1719375120.4791825,130000,-34.242515563964844
1719375142.9375806,140000,-28.965770721435547
1719375167.8356445,150000,42.726375579833984
1719375190.2966356,160000,136.98870849609375
1719375217.2104394,170000,-18.555770874023438
1719375245.0793338,180000,-2.1273837089538574
1719375272.9026928,190000,19.542354583740234
1719375297.6469293,200000,-30.792495727539062
1719375322.068539,210000,147.12127685546875
1719375345.1249063,220000,15.501843452453613
1719375366.1378536,230000,119.42198181152344
1719375385.4836845,240000,216.1912078857422
1719375403.064062,250000,129.22061157226562
1719375422.8538468,260000,187.66502380371094
1719375439.3252552,270000,208.040771484375
1719375455.0280573,280000,254.4630584716797
1719375470.552657,290000,247.9302215576172
