Wall time,Step,Value
1719373152.267712,0,-629.7000122070312
1719373153.6020184,10000,-596.7694702148438
1719373155.1982143,20000,-383.36663818359375
1719373173.0182931,30000,-192.44895935058594
1719373196.8996809,40000,-93.3490219116211
1719373222.7068899,50000,-105.30171203613281
1719373248.5365977,60000,-79.33149719238281
1719373276.0849044,70000,-78.8701171875
1719373301.80929,80000,-73.47409057617188
1719373328.2886417,90000,-50.86156463623047
1719373354.5872707,100000,-69.0394515991211
1719373381.3310952,110000,-62.90399169921875
1719373406.9907835,120000,-58.16181182861328
1719373434.0589297,130000,-73.00114440917969
1719373461.4028273,140000,-50.600440979003906
1719373487.6356978,150000,-40.725135803222656
1719373512.534904,160000,-59.53215789794922
1719373540.347052,170000,-37.58009719848633
1719373569.6690292,180000,-26.242908477783203
1719373598.5047033,190000,-21.41263198852539
1719373626.054801,200000,-22.45473289489746
1719373650.2791357,210000,-106.1135482788086
1719373675.981019,220000,-66.74581146240234
1719373701.6945193,230000,-82.1326675415039
1719373726.469708,240000,-92.32173156738281
1719373752.6299658,250000,-63.211936950683594
1719373780.1243637,260000,-29.277725219726562
1719373809.6135685,270000,-14.353607177734375
1719373836.7539794,280000,-47.23505401611328
1719373862.2155068,290000,-46.63007354736328
